,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-05-10 18:44:59,1.70610559536e-07,1.50706509811e-09,4.6790611139e-10,5.19994629006e-10
2020-05-10 18:59:59,1.78824325446e-07,1.61337979718e-09,6.31145110987e-10,6.77389300501e-10
2020-05-10 19:14:59,1.73887128625e-07,1.68982730935e-09,7.20982118459e-10,7.61699866555e-10
2020-05-10 19:29:59,1.76814184247e-07,1.74649175906e-09,6.64833483119e-10,7.11108167366e-10
2020-05-10 19:44:59,1.71013821962e-07,1.83068665655e-09,7.27202364291e-10,7.86557921259e-10
2020-05-10 19:59:59,1.73247380218e-07,2.22985126781e-09,1.23637889317e-09,1.30265684517e-09
2020-05-10 20:14:59,1.74454272166e-07,2.33765750269e-09,1.37887282446e-09,1.44059744335e-09
2020-05-10 20:29:59,1.71808895119e-07,2.00756505721e-09,9.83685304964e-10,1.02437635117e-09
2020-05-10 20:44:59,1.70667553333e-07,2.28635814753e-09,1.34626636735e-09,1.37639349649e-09
2020-05-10 20:59:59,1.85670654278e-07,3.0715507991e-09,1.51533130509e-09,1.55598129374e-09
2020-05-10 21:14:59,1.7424507536e-07,3.43472170739e-09,1.64086479371e-09,1.6996972573e-09
2020-05-10 21:29:59,1.72073303351e-07,3.07213524128e-09,1.55221603959e-09,1.61758694736e-09
2020-05-10 21:44:59,1.85092058607e-07,8.95316596022e-09,3.93016512146e-09,4.05132603822e-09
2020-05-10 21:59:59,1.87723105752e-07,1.22628712033e-08,5.03533964443e-09,5.15686465553e-09
2020-05-10 22:14:59,1.8508053951e-07,1.18044223192e-08,4.73419901681e-09,4.83339779713e-09
2020-05-10 22:29:59,1.71642038264e-07,1.02890526891e-08,4.18851186108e-09,4.33194131663e-09
2020-05-10 22:44:59,1.63601589403e-07,7.95568419574e-09,3.62664749766e-09,3.81155505305e-09
2020-05-10 22:59:59,1.8659572785e-07,1.04306608297e-08,4.332674901e-09,4.45644899263e-09
